sample_id	biological_id	source_biological_id	population	era	library_id	read_group	sequencing_run	source_id	source_r1	source_r2	symlink_r1	symlink_r2
OchACat009_Ex1-9A-lcwgs-2_RG-OchACat009-E00526-585-HJLFCCCX2-L3-9A-B2	OchACat009	Och-ACat_009	ACat	historical	Ex1-9A-lcwgs-2	RG-OchACat009-E00526-585-HJLFCCCX2-L3-9A-B2	2nd	Och-ACat_009-Ex1-9A-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_009-Ex1-9A-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_009-Ex1-9A-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat009_Ex1-9A-lcwgs-2_RG-OchACat009-E00526-585-HJLFCCCX2-L3-9A-B2_R1.fastq.gz	data/symlinks/OchACat009_Ex1-9A-lcwgs-2_RG-OchACat009-E00526-585-HJLFCCCX2-L3-9A-B2_R2.fastq.gz
OchACat010_Ex1-10A-lcwgs-2_RG-OchACat010-E00526-585-HJLFCCCX2-L3-10A-B2	OchACat010	Och-ACat_010	ACat	historical	Ex1-10A-lcwgs-2	RG-OchACat010-E00526-585-HJLFCCCX2-L3-10A-B2	2nd	Och-ACat_010-Ex1-10A-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_010-Ex1-10A-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_010-Ex1-10A-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat010_Ex1-10A-lcwgs-2_RG-OchACat010-E00526-585-HJLFCCCX2-L3-10A-B2_R1.fastq.gz	data/symlinks/OchACat010_Ex1-10A-lcwgs-2_RG-OchACat010-E00526-585-HJLFCCCX2-L3-10A-B2_R2.fastq.gz
OchACat011_Ex1-11A-lcwgs-2_RG-OchACat011-E00526-585-HJLFCCCX2-L3-11A-B2	OchACat011	Och-ACat_011	ACat	historical	Ex1-11A-lcwgs-2	RG-OchACat011-E00526-585-HJLFCCCX2-L3-11A-B2	2nd	Och-ACat_011-Ex1-11A-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_011-Ex1-11A-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_011-Ex1-11A-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat011_Ex1-11A-lcwgs-2_RG-OchACat011-E00526-585-HJLFCCCX2-L3-11A-B2_R1.fastq.gz	data/symlinks/OchACat011_Ex1-11A-lcwgs-2_RG-OchACat011-E00526-585-HJLFCCCX2-L3-11A-B2_R2.fastq.gz
OchACat012_Ex1-12A-lcwgs-2_RG-OchACat012-E00526-585-HJLFCCCX2-L3-12A-B2	OchACat012	Och-ACat_012	ACat	historical	Ex1-12A-lcwgs-2	RG-OchACat012-E00526-585-HJLFCCCX2-L3-12A-B2	2nd	Och-ACat_012-Ex1-12A-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_012-Ex1-12A-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_012-Ex1-12A-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat012_Ex1-12A-lcwgs-2_RG-OchACat012-E00526-585-HJLFCCCX2-L3-12A-B2_R1.fastq.gz	data/symlinks/OchACat012_Ex1-12A-lcwgs-2_RG-OchACat012-E00526-585-HJLFCCCX2-L3-12A-B2_R2.fastq.gz
OchACat013_Ex1-1B-lcwgs-2_RG-OchACat013-E00526-585-HJLFCCCX2-L3-1B-B2	OchACat013	Och-ACat_013	ACat	historical	Ex1-1B-lcwgs-2	RG-OchACat013-E00526-585-HJLFCCCX2-L3-1B-B2	2nd	Och-ACat_013-Ex1-1B-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_013-Ex1-1B-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_013-Ex1-1B-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat013_Ex1-1B-lcwgs-2_RG-OchACat013-E00526-585-HJLFCCCX2-L3-1B-B2_R1.fastq.gz	data/symlinks/OchACat013_Ex1-1B-lcwgs-2_RG-OchACat013-E00526-585-HJLFCCCX2-L3-1B-B2_R2.fastq.gz
OchACat014_Ex1-2B-lcwgs-2_RG-OchACat014-E00526-585-HJLFCCCX2-L3-2B-B2	OchACat014	Och-ACat_014	ACat	historical	Ex1-2B-lcwgs-2	RG-OchACat014-E00526-585-HJLFCCCX2-L3-2B-B2	2nd	Och-ACat_014-Ex1-2B-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_014-Ex1-2B-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_014-Ex1-2B-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat014_Ex1-2B-lcwgs-2_RG-OchACat014-E00526-585-HJLFCCCX2-L3-2B-B2_R1.fastq.gz	data/symlinks/OchACat014_Ex1-2B-lcwgs-2_RG-OchACat014-E00526-585-HJLFCCCX2-L3-2B-B2_R2.fastq.gz
OchACat015_Ex1-3B-lcwgs-2_RG-OchACat015-E00526-585-HJLFCCCX2-L3-3B-B2	OchACat015	Och-ACat_015	ACat	historical	Ex1-3B-lcwgs-2	RG-OchACat015-E00526-585-HJLFCCCX2-L3-3B-B2	2nd	Och-ACat_015-Ex1-3B-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_015-Ex1-3B-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_015-Ex1-3B-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat015_Ex1-3B-lcwgs-2_RG-OchACat015-E00526-585-HJLFCCCX2-L3-3B-B2_R1.fastq.gz	data/symlinks/OchACat015_Ex1-3B-lcwgs-2_RG-OchACat015-E00526-585-HJLFCCCX2-L3-3B-B2_R2.fastq.gz
OchACat015_Ex1-5A-lcwgs-1_RG-OchACat015-E00526-585-HJLFCCCX2-L3-5A-B1	OchACat015	Och-ACat_015	ACat	historical	Ex1-5A-lcwgs-1	RG-OchACat015-E00526-585-HJLFCCCX2-L3-5A-B1	2nd	Och-ACat_015-Ex1-5A-lcwgs-1-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_015-Ex1-5A-lcwgs-1-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_015-Ex1-5A-lcwgs-1-1.2.fq.gz	data/symlinks/OchACat015_Ex1-5A-lcwgs-1_RG-OchACat015-E00526-585-HJLFCCCX2-L3-5A-B1_R1.fastq.gz	data/symlinks/OchACat015_Ex1-5A-lcwgs-1_RG-OchACat015-E00526-585-HJLFCCCX2-L3-5A-B1_R2.fastq.gz
OchACat016_Ex1-4B-lcwgs-2_RG-OchACat016-E00526-585-HJLFCCCX2-L3-4B-B2	OchACat016	Och-ACat_016	ACat	historical	Ex1-4B-lcwgs-2	RG-OchACat016-E00526-585-HJLFCCCX2-L3-4B-B2	2nd	Och-ACat_016-Ex1-4B-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_016-Ex1-4B-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_016-Ex1-4B-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat016_Ex1-4B-lcwgs-2_RG-OchACat016-E00526-585-HJLFCCCX2-L3-4B-B2_R1.fastq.gz	data/symlinks/OchACat016_Ex1-4B-lcwgs-2_RG-OchACat016-E00526-585-HJLFCCCX2-L3-4B-B2_R2.fastq.gz
OchACat017_Ex1-5B-lcwgs-2_RG-OchACat017-E00526-585-HJLFCCCX2-L3-5B-B2	OchACat017	Och-ACat_017	ACat	historical	Ex1-5B-lcwgs-2	RG-OchACat017-E00526-585-HJLFCCCX2-L3-5B-B2	2nd	Och-ACat_017-Ex1-5B-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_017-Ex1-5B-lcwgs-2-1.1.fq.gz	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw/Och-ACat_017-Ex1-5B-lcwgs-2-1.2.fq.gz	data/symlinks/OchACat017_Ex1-5B-lcwgs-2_RG-OchACat017-E00526-585-HJLFCCCX2-L3-5B-B2_R1.fastq.gz	data/symlinks/OchACat017_Ex1-5B-lcwgs-2_RG-OchACat017-E00526-585-HJLFCCCX2-L3-5B-B2_R2.fastq.gz
