biological_id,source_biological_id,population,era
OchACan001,Och-ACan_001,ACan,historical
OchACan002,Och-ACan_002,ACan,historical
OchACan003,Och-ACan_003,ACan,historical
OchACan004,Och-ACan_004,ACan,historical
OchACan005,Och-ACan_005,ACan,historical
OchACan006,Och-ACan_006,ACan,historical
OchACan007,Och-ACan_007,ACan,historical
OchACan008,Och-ACan_008,ACan,historical
OchACan009,Och-ACan_009,ACan,historical
OchACan010,Och-ACan_010,ACan,historical
OchACan011,Och-ACan_011,ACan,historical
OchACan012,Och-ACan_012,ACan,historical
OchACan013,Och-ACan_013,ACan,historical
OchACan014,Och-ACan_014,ACan,historical
OchACan015,Och-ACan_015,ACan,historical
OchACan016,Och-ACan_016,ACan,historical
OchACan017,Och-ACan_017,ACan,historical
OchACan018,Och-ACan_018,ACan,historical
OchACan019,Och-ACan_019,ACan,historical
OchACan020,Och-ACan_020,ACan,historical
OchACan021,Och-ACan_021,ACan,historical
OchACan022,Och-ACan_022,ACan,historical
OchACan023,Och-ACan_023,ACan,historical
OchACan024,Och-ACan_024,ACan,historical
OchACat001,Och-ACat_001,ACat,historical
OchACat002,Och-ACat_002,ACat,historical
OchACat003,Och-ACat_003,ACat,historical
OchACat004,Och-ACat_004,ACat,historical
OchACat005,Och-ACat_005,ACat,historical
OchACat006,Och-ACat_006,ACat,historical
OchACat007,Och-ACat_007,ACat,historical
OchACat008,Och-ACat_008,ACat,historical
OchACat009,Och-ACat_009,ACat,historical
OchACat010,Och-ACat_010,ACat,historical
OchACat011,Och-ACat_011,ACat,historical
OchACat012,Och-ACat_012,ACat,historical
OchACat013,Och-ACat_013,ACat,historical
OchACat014,Och-ACat_014,ACat,historical
OchACat015,Och-ACat_015,ACat,historical
OchACat016,Och-ACat_016,ACat,historical
OchACat017,Och-ACat_017,ACat,historical
OchACat018,Och-ACat_018,ACat,historical
OchACat019,Och-ACat_019,ACat,historical
OchACat020,Och-ACat_020,ACat,historical
OchACat021,Och-ACat_021,ACat,historical
OchACat022,Och-ACat_022,ACat,historical
OchACat023,Och-ACat_023,ACat,historical
OchACat024,Och-ACat_024,ACat,historical
OchACat025,Och-ACat_025,ACat,historical
OchACat026,Och-ACat_026,ACat,historical
OchACat027,Och-ACat_027,ACat,historical
OchACat028,Och-ACat_028,ACat,historical
OchACat029,Och-ACat_029,ACat,historical
OchACat030,Och-ACat_030,ACat,historical
OchACat031,Och-ACat_031,ACat,historical
OchACat032,Och-ACat_032,ACat,historical
OchACat033,Och-ACat_033,ACat,historical
OchACat034,Och-ACat_034,ACat,historical
OchACat035,Och-ACat_035,ACat,historical
OchACat036,Och-ACat_036,ACat,historical
OchACat037,Och-ACat_037,ACat,historical
OchACat038,Och-ACat_038,ACat,historical
OchACat039,Och-ACat_039,ACat,historical
OchACat040,Och-ACat_040,ACat,historical
OchACat041,Och-ACat_041,ACat,historical
OchATum001,Och-ATum_001,ATum,historical
OchATum002,Och-ATum_002,ATum,historical
OchATum003,Och-ATum_003,ATum,historical
OchATum004,Och-ATum_004,ATum,historical
OchATum005,Och-ATum_005,ATum,historical
OchATum006,Och-ATum_006,ATum,historical
OchATum007,Och-ATum_007,ATum,historical
OchATum008,Och-ATum_008,ATum,historical
OchATum009,Och-ATum_009,ATum,historical
OchATum010,Och-ATum_010,ATum,historical
OchATum011,Och-ATum_011,ATum,historical
OchATum012,Och-ATum_012,ATum,historical
OchATum013,Och-ATum_013,ATum,historical
OchATum014,Och-ATum_014,ATum,historical
OchATum015,Och-ATum_015,ATum,historical
OchATum016,Och-ATum_016,ATum,historical
OchATum017,Och-ATum_017,ATum,historical
OchATum018,Och-ATum_018,ATum,historical
OchATum019,Och-ATum_019,ATum,historical
OchATum020,Och-ATum_020,ATum,historical
OchATum021,Och-ATum_021,ATum,historical
OchATum022,Och-ATum_022,ATum,historical
OchATum023,Och-ATum_023,ATum,historical
OchATum024,Och-ATum_024,ATum,historical
OchATum025,Och-ATum_025,ATum,historical
OchATum026,Och-ATum_026,ATum,historical
OchATum027,Och-ATum_027,ATum,historical
OchATum028,Och-ATum_028,ATum,historical
OchATum029,Och-ATum_029,ATum,historical
OchATum030,Och-ATum_030,ATum,historical
OchATum031,Och-ATum_031,ATum,historical
OchATum032,Och-ATum_032,ATum,historical
OchATum033,Och-ATum_033,ATum,historical
OchATum034,Och-ATum_034,ATum,historical
OchATum035,Och-ATum_035,ATum,historical
OchATum036,Och-ATum_036,ATum,historical
OchCBur013,Och-CBur_013,CBur,modern
OchCBur014,Och-CBur_014,CBur,modern
OchCBur015,Och-CBur_015,CBur,modern
OchCBur016,Och-CBur_016,CBur,modern
OchCBur017,Och-CBur_017,CBur,modern
OchCBur018,Och-CBur_018,CBur,modern
OchCBur021,Och-CBur_021,CBur,modern
OchCBur022,Och-CBur_022,CBur,modern
OchCBur023,Och-CBur_023,CBur,modern
OchCBur024,Och-CBur_024,CBur,modern
OchCBur025,Och-CBur_025,CBur,modern
OchCBur026,Och-CBur_026,CBur,modern
OchCBur028,Och-CBur_028,CBur,modern
OchCBur029,Och-CBur_029,CBur,modern
OchCBur030,Och-CBur_030,CBur,modern
OchCBur031,Och-CBur_031,CBur,modern
OchCBur032,Och-CBur_032,CBur,modern
OchCBur034,Och-CBur_034,CBur,modern
OchCBur035,Och-CBur_035,CBur,modern
OchCBur037,Och-CBur_037,CBur,modern
OchCBur038,Och-CBur_038,CBur,modern
OchCBur040,Och-CBur_040,CBur,modern
OchCBur041,Och-CBur_041,CBur,modern
OchCBur042,Och-CBur_042,CBur,modern
OchCBur043,Och-CBur_043,CBur,modern
OchCBur044,Och-CBur_044,CBur,modern
OchCBur045,Och-CBur_045,CBur,modern
OchCBur047,Och-CBur_047,CBur,modern
OchCBur049,Och-CBur_049,CBur,modern
OchCBur051,Och-CBur_051,CBur,modern
OchCBur052,Och-CBur_052,CBur,modern
OchCBur053,Och-CBur_053,CBur,modern
OchCBur054,Och-CBur_054,CBur,modern
OchCBur055,Och-CBur_055,CBur,modern
OchCBur056,Och-CBur_056,CBur,modern
OchCBur057,Och-CBur_057,CBur,modern
OchCBur058,Och-CBur_058,CBur,modern
OchCBur059,Och-CBur_059,CBur,modern
OchCBur060,Och-CBur_060,CBur,modern
OchCBur061,Och-CBur_061,CBur,modern
OchCBur062,Och-CBur_062,CBur,modern
OchCBur063,Och-CBur_063,CBur,modern
OchCBur064,Och-CBur_064,CBur,modern
OchCBur065,Och-CBur_065,CBur,modern
OchCBur066,Och-CBur_066,CBur,modern
OchCBur067,Och-CBur_067,CBur,modern
OchCBur069,Och-CBur_069,CBur,modern
OchCBur070,Och-CBur_070,CBur,modern
OchCBur071,Och-CBur_071,CBur,modern
OchCBur072,Och-CBur_072,CBur,modern
OchCBur073,Och-CBur_073,CBur,modern
OchCBur074,Och-CBur_074,CBur,modern
OchCBur076,Och-CBur_076,CBur,modern
OchCBur077,Och-CBur_077,CBur,modern
OchCBur078,Och-CBur_078,CBur,modern
OchCBur079,Och-CBur_079,CBur,modern
OchCBur080,Och-CBur_080,CBur,modern
OchCBur082,Och-CBur_082,CBur,modern
OchCBur083,Och-CBur_083,CBur,modern
OchCBur084,Och-CBur_084,CBur,modern
OchCBur086,Och-CBur_086,CBur,modern
OchCBur087,Och-CBur_087,CBur,modern
OchCBur088,Och-CBur_088,CBur,modern
OchCBur089,Och-CBur_089,CBur,modern
OchCCat001,Och-CCat_001,CCat,modern
