biological_id,source_biological_id,population,era
OchCCat002,Och-CCat_002,CCat,modern
OchCCat003,Och-CCat_003,CCat,modern
OchCCat004,Och-CCat_004,CCat,modern
OchCCat005,Och-CCat_005,CCat,modern
OchCCat006,Och-CCat_006,CCat,modern
OchCCat007,Och-CCat_007,CCat,modern
OchCCat008,Och-CCat_008,CCat,modern
OchCCat009,Och-CCat_009,CCat,modern
OchCCat010,Och-CCat_010,CCat,modern
OchCCat011,Och-CCat_011,CCat,modern
OchCCat012,Och-CCat_012,CCat,modern
OchCCat013,Och-CCat_013,CCat,modern
OchCCat014,Och-CCat_014,CCat,modern
OchCCat015,Och-CCat_015,CCat,modern
OchCCat016,Och-CCat_016,CCat,modern
OchCCat017,Och-CCat_017,CCat,modern
OchCCat018,Och-CCat_018,CCat,modern
OchCCat019,Och-CCat_019,CCat,modern
OchCCat020,Och-CCat_020,CCat,modern
OchCCat021,Och-CCat_021,CCat,modern
OchCCat022,Och-CCat_022,CCat,modern
OchCCat023,Och-CCat_023,CCat,modern
OchCCat024,Och-CCat_024,CCat,modern
OchCCat025,Och-CCat_025,CCat,modern
OchCCat028,Och-CCat_028,CCat,modern
OchCCat029,Och-CCat_029,CCat,modern
OchCCat031,Och-CCat_031,CCat,modern
OchCCat035,Och-CCat_035,CCat,modern
OchCCat036,Och-CCat_036,CCat,modern
OchCCat037,Och-CCat_037,CCat,modern
OchCCat038,Och-CCat_038,CCat,modern
OchCCat047,Och-CCat_047,CCat,modern
OchCCat051,Och-CCat_051,CCat,modern
OchCCat059,Och-CCat_059,CCat,modern
OchCCat063,Och-CCat_063,CCat,modern
OchCCat065,Och-CCat_065,CCat,modern
OchCCat066,Och-CCat_066,CCat,modern
OchCCat068,Och-CCat_068,CCat,modern
OchCCat069,Och-CCat_069,CCat,modern
OchCCat070,Och-CCat_070,CCat,modern
OchCCat071,Och-CCat_071,CCat,modern
OchCCat072,Och-CCat_072,CCat,modern
OchCCat074,Och-CCat_074,CCat,modern
OchCCat075,Och-CCat_075,CCat,modern
OchCCat076,Och-CCat_076,CCat,modern
OchCCat077,Och-CCat_077,CCat,modern
OchCCat079,Och-CCat_079,CCat,modern
OchCCat080,Och-CCat_080,CCat,modern
OchCCat081,Och-CCat_081,CCat,modern
OchCCat082,Och-CCat_082,CCat,modern
OchCCat083,Och-CCat_083,CCat,modern
OchCCat084,Och-CCat_084,CCat,modern
OchCCat085,Och-CCat_085,CCat,modern
OchCCat086,Och-CCat_086,CCat,modern
OchCCat087,Och-CCat_087,CCat,modern
OchCCat088,Och-CCat_088,CCat,modern
OchCCat090,Och-CCat_090,CCat,modern
OchCCat091,Och-CCat_091,CCat,modern
OchCCat092,Och-CCat_092,CCat,modern
OchCCat094,Och-CCat_094,CCat,modern
OchCCat095,Och-CCat_095,CCat,modern
OchCCat096,Och-CCat_096,CCat,modern
OchCTum001,Och-CTum_001,CTum,modern
OchCTum002,Och-CTum_002,CTum,modern
OchCTum003,Och-CTum_003,CTum,modern
OchCTum004,Och-CTum_004,CTum,modern
OchCTum005,Och-CTum_005,CTum,modern
OchCTum006,Och-CTum_006,CTum,modern
OchCTum007,Och-CTum_007,CTum,modern
OchCTum008,Och-CTum_008,CTum,modern
OchCTum009,Och-CTum_009,CTum,modern
OchCTum010,Och-CTum_010,CTum,modern
OchCTum011,Och-CTum_011,CTum,modern
OchCTum012,Och-CTum_012,CTum,modern
OchCTum013,Och-CTum_013,CTum,modern
OchCTum014,Och-CTum_014,CTum,modern
OchCTum015,Och-CTum_015,CTum,modern
OchCTum016,Och-CTum_016,CTum,modern
OchCTum017,Och-CTum_017,CTum,modern
OchCTum018,Och-CTum_018,CTum,modern
OchCTum019,Och-CTum_019,CTum,modern
OchCTum020,Och-CTum_020,CTum,modern
OchCTum021,Och-CTum_021,CTum,modern
OchCTum022,Och-CTum_022,CTum,modern
OchCTum023,Och-CTum_023,CTum,modern
OchCTum024,Och-CTum_024,CTum,modern
OchCTum025,Och-CTum_025,CTum,modern
OchCTum026,Och-CTum_026,CTum,modern
OchCTum027,Och-CTum_027,CTum,modern
OchCTum028,Och-CTum_028,CTum,modern
OchCTum029,Och-CTum_029,CTum,modern
OchCTum030,Och-CTum_030,CTum,modern
OchCTum031,Och-CTum_031,CTum,modern
OchCTum032,Och-CTum_032,CTum,modern
OchCTum033,Och-CTum_033,CTum,modern
OchCTum034,Och-CTum_034,CTum,modern
OchCTum035,Och-CTum_035,CTum,modern
OchCTum036,Och-CTum_036,CTum,modern
OchCTum037,Och-CTum_037,CTum,modern
OchCTum038,Och-CTum_038,CTum,modern
OchCTum039,Och-CTum_039,CTum,modern
OchCTum040,Och-CTum_040,CTum,modern
OchCTum041,Och-CTum_041,CTum,modern
OchCTum042,Och-CTum_042,CTum,modern
OchCTum043,Och-CTum_043,CTum,modern
OchCTum044,Och-CTum_044,CTum,modern
OchCTum045,Och-CTum_045,CTum,modern
OchCTum047,Och-CTum_047,CTum,modern
OchCTum048,Och-CTum_048,CTum,modern
OchCTum049,Och-CTum_049,CTum,modern
OchCTum050,Och-CTum_050,CTum,modern
OchCTum051,Och-CTum_051,CTum,modern
