sample,era
OchACat032_Ex1-8C-lcwgs-2_RG-OchACat032-E00526-585-HJLFCCCX2-L3-8C-B2,historical
OchACat033_Ex1-9C-lcwgs-2_RG-OchACat033-E00526-585-HJLFCCCX2-L3-9C-B2,historical
OchACat034_Ex1-10C-lcwgs-2_RG-OchACat034-E00526-585-HJLFCCCX2-L3-10C-B2,historical
OchACat035_Ex1-11C-lcwgs-2_RG-OchACat035-E00526-585-HJLFCCCX2-L3-11C-B2,historical
OchACat036_Ex1-12C-lcwgs-2_RG-OchACat036-E00526-585-HJLFCCCX2-L3-12C-B2,historical
OchACat037_Ex1-1D-lcwgs-2_RG-OchACat037-E00526-585-HJLFCCCX2-L3-1D-B2,historical
OchACat038_Ex1-2D-lcwgs-2_RG-OchACat038-E00526-585-HJLFCCCX2-L3-2D-B2,historical
OchACat039_Ex1-3D-lcwgs-2_RG-OchACat039-E00526-585-HJLFCCCX2-L3-3D-B2,historical
OchACat039_Ex1-8A-lcwgs-1_RG-OchACat039-E00526-585-HJLFCCCX2-L3-8A-B1,historical
OchACat040_Ex1-4D-lcwgs-2_RG-OchACat040-E00526-585-HJLFCCCX2-L3-4D-B2,historical
OchACat041_Ex1-5D-lcwgs-2_RG-OchACat041-E00526-585-HJLFCCCX2-L3-5D-B2,historical
OchATum001_Ex1-6D-lcwgs-2_RG-OchATum001-E00526-585-HJLFCCCX2-L3-6D-B2,historical
OchATum002_Ex1-7D-lcwgs-2_RG-OchATum002-E00526-585-HJLFCCCX2-L3-7D-B2,historical
OchATum003_Ex1-8D-lcwgs-2_RG-OchATum003-E00526-585-HJLFCCCX2-L3-8D-B2,historical
OchATum004_Ex1-9D-lcwgs-2_RG-OchATum004-E00526-585-HJLFCCCX2-L3-9D-B2,historical
OchATum005_Ex1-10D-lcwgs-2_RG-OchATum005-E00526-585-HJLFCCCX2-L3-10D-B2,historical
OchATum006_Ex1-11D-lcwgs-2_RG-OchATum006-E00526-585-HJLFCCCX2-L3-11D-B2,historical
OchATum007_Ex1-12D-lcwgs-2_RG-OchATum007-E00526-585-HJLFCCCX2-L3-12D-B2,historical
OchATum008_Ex1-1E-lcwgs-2_RG-OchATum008-E00526-585-HJLFCCCX2-L3-1E-B2,historical
OchATum009_Ex1-2E-lcwgs-2_RG-OchATum009-E00526-585-HJLFCCCX2-L3-2E-B2,historical
OchATum010_Ex1-3E-lcwgs-2_RG-OchATum010-E00526-585-HJLFCCCX2-L3-3E-B2,historical
OchATum011_Ex1-4E-lcwgs-2_RG-OchATum011-E00526-585-HJLFCCCX2-L3-4E-B2,historical
OchATum012_Ex1-5E-lcwgs-2_RG-OchATum012-E00526-585-HJLFCCCX2-L3-5E-B2,historical
OchATum013_Ex1-6E-lcwgs-2_RG-OchATum013-E00526-585-HJLFCCCX2-L3-6E-B2,historical
OchATum014_Ex1-7E-lcwgs-2_RG-OchATum014-E00526-585-HJLFCCCX2-L3-7E-B2,historical
OchATum015_Ex1-8E-lcwgs-2_RG-OchATum015-E00526-585-HJLFCCCX2-L3-8E-B2,historical
OchATum016_Ex1-9E-lcwgs-2_RG-OchATum016-E00526-585-HJLFCCCX2-L3-9E-B2,historical
OchATum017_Ex1-10E-lcwgs-2_RG-OchATum017-E00526-585-HJLFCCCX2-L3-10E-B2,historical
OchATum018_Ex1-11E-lcwgs-2_RG-OchATum018-E00526-585-HJLFCCCX2-L3-11E-B2,historical
OchATum019_Ex1-12E-lcwgs-2_RG-OchATum019-E00526-585-HJLFCCCX2-L3-12E-B2,historical
OchATum020_Ex1-1F-lcwgs-2_RG-OchATum020-E00526-585-HJLFCCCX2-L3-1F-B2,historical
OchATum021_Ex1-2F-lcwgs-2_RG-OchATum021-E00526-585-HJLFCCCX2-L3-2F-B2,historical
OchATum022_Ex1-3F-lcwgs-2_RG-OchATum022-E00526-585-HJLFCCCX2-L3-3F-B2,historical
OchATum023_Ex1-4F-lcwgs-2_RG-OchATum023-E00526-585-HJLFCCCX2-L3-4F-B2,historical
OchATum024_Ex1-5F-lcwgs-2_RG-OchATum024-E00526-585-HJLFCCCX2-L3-5F-B2,historical
OchATum025_Ex1-6F-lcwgs-2_RG-OchATum025-E00526-585-HJLFCCCX2-L3-6F-B2,historical
OchATum026_Ex1-7F-lcwgs-2_RG-OchATum026-E00526-585-HJLFCCCX2-L3-7F-B2,historical
OchATum027_Ex1-8F-lcwgs-2_RG-OchATum027-E00526-585-HJLFCCCX2-L3-8F-B2,historical
OchATum028_Ex1-9F-lcwgs-2_RG-OchATum028-E00526-585-HJLFCCCX2-L3-9F-B2,historical
OchATum029_Ex1-10F-lcwgs-2_RG-OchATum029-E00526-585-HJLFCCCX2-L3-10F-B2,historical
OchATum030_Ex1-11F-lcwgs-2_RG-OchATum030-E00526-585-HJLFCCCX2-L3-11F-B2,historical
OchATum031_Ex1-12F-lcwgs-2_RG-OchATum031-E00526-585-HJLFCCCX2-L3-12F-B2,historical
OchATum032_Ex1-1G-lcwgs-2_RG-OchATum032-E00526-585-HJLFCCCX2-L3-1G-B2,historical
OchATum033_Ex1-12D-lcwgs-1_RG-OchATum033-E00526-585-HJLFCCCX2-L3-12D-B1,historical
OchATum033_Ex1-2G-lcwgs-2_RG-OchATum033-E00526-585-HJLFCCCX2-L3-2G-B2,historical
OchATum034_Ex1-3G-lcwgs-2_RG-OchATum034-E00526-585-HJLFCCCX2-L3-3G-B2,historical
OchATum035_Ex1-4G-lcwgs-2_RG-OchATum035-E00526-585-HJLFCCCX2-L3-4G-B2,historical
OchATum036_Ex1-5G-lcwgs-2_RG-OchATum036-E00526-585-HJLFCCCX2-L3-5G-B2,historical
OchCCat001_Ex1-1A-lcwgs-1_RG-OchCCat001-E00526-585-HJLFCCCX2-L3-1A-B1,modern
OchCCat002_Ex1-1B-lcwgs-1_RG-OchCCat002-E00526-585-HJLFCCCX2-L3-1B-B1,modern
OchCCat003_Ex1-1C-lcwgs-1_RG-OchCCat003-E00526-585-HJLFCCCX2-L3-1C-B1,modern
OchCCat004_Ex1-1D-lcwgs-1_RG-OchCCat004-E00526-585-HJLFCCCX2-L3-1D-B1,modern
OchCCat005_Ex1-1E-lcwgs-1_RG-OchCCat005-E00526-585-HJLFCCCX2-L3-1E-B1,modern
OchCCat006_Ex1-1F-lcwgs-1_RG-OchCCat006-E00526-585-HJLFCCCX2-L3-1F-B1,modern
OchCCat007_Ex1-1G-lcwgs-1_RG-OchCCat007-E00526-585-HJLFCCCX2-L3-1G-B1,modern
OchCCat008_Ex1-1H-lcwgs-1_RG-OchCCat008-E00526-585-HJLFCCCX2-L3-1H-B1,modern
OchCCat009_Ex1-2A-lcwgs-1_RG-OchCCat009-E00526-585-HJLFCCCX2-L3-2A-B1,modern
OchCCat010_Ex1-2B-lcwgs-1_RG-OchCCat010-E00526-585-HJLFCCCX2-L3-2B-B1,modern
OchCCat011_Ex1-2C-lcwgs-1_RG-OchCCat011-E00526-585-HJLFCCCX2-L3-2C-B1,modern
OchCCat012_Ex1-2D-lcwgs-1_RG-OchCCat012-E00526-585-HJLFCCCX2-L3-2D-B1,modern
OchCCat013_Ex1-2E-lcwgs-1_RG-OchCCat013-E00526-585-HJLFCCCX2-L3-2E-B1,modern
OchCCat014_Ex1-2F-lcwgs-1_RG-OchCCat014-E00526-585-HJLFCCCX2-L3-2F-B1,modern
OchCCat015_Ex1-2G-lcwgs-1_RG-OchCCat015-E00526-585-HJLFCCCX2-L3-2G-B1,modern
OchCCat016_Ex1-2H-lcwgs-1_RG-OchCCat016-E00526-585-HJLFCCCX2-L3-2H-B1,modern
OchCCat017_Ex1-3A-lcwgs-1_RG-OchCCat017-E00526-585-HJLFCCCX2-L3-3A-B1,modern
OchCCat018_Ex1-3B-lcwgs-1_RG-OchCCat018-E00526-585-HJLFCCCX2-L3-3B-B1,modern
OchCCat019_Ex1-3C-lcwgs-1_RG-OchCCat019-E00526-585-HJLFCCCX2-L3-3C-B1,modern
OchCCat020_Ex1-3D-lcwgs-1_RG-OchCCat020-E00526-585-HJLFCCCX2-L3-3D-B1,modern
OchCCat021_Ex1-3E-lcwgs-1_RG-OchCCat021-E00526-585-HJLFCCCX2-L3-3E-B1,modern
OchCCat022_Ex1-3F-lcwgs-1_RG-OchCCat022-E00526-585-HJLFCCCX2-L3-3F-B1,modern
OchCCat023_Ex1-4E-lcwgs-1_RG-OchCCat023-E00526-585-HJLFCCCX2-L3-4E-B1,modern
OchCCat024_Ex1-5G-lcwgs-1_RG-OchCCat024-E00526-585-HJLFCCCX2-L3-5G-B1,modern
OchCCat025_Ex1-4A-lcwgs-1_RG-OchCCat025-E00526-585-HJLFCCCX2-L3-4A-B1,modern
OchCCat028_Ex1-5C-lcwgs-1_RG-OchCCat028-E00526-585-HJLFCCCX2-L3-5C-B1,modern
OchCCat029_Ex1-3H-lcwgs-1_RG-OchCCat029-E00526-585-HJLFCCCX2-L3-3H-B1,modern
OchCCat031_Ex1-3G-lcwgs-1_RG-OchCCat031-E00526-585-HJLFCCCX2-L3-3G-B1,modern
OchCCat035_Ex1-6A-lcwgs-1_RG-OchCCat035-E00526-585-HJLFCCCX2-L3-6A-B1,modern
OchCCat036_Ex1-5D-lcwgs-1_RG-OchCCat036-E00526-585-HJLFCCCX2-L3-5D-B1,modern
OchCCat037_Ex1-4B-lcwgs-1_RG-OchCCat037-E00526-585-HJLFCCCX2-L3-4B-B1,modern
OchCCat038_Ex1-4C-lcwgs-1_RG-OchCCat038-E00526-585-HJLFCCCX2-L3-4C-B1,modern
OchCCat047_Ex1-4H-lcwgs-1_RG-OchCCat047-E00526-585-HJLFCCCX2-L3-4H-B1,modern
OchCCat051_Ex1-8B-lcwgs-1_RG-OchCCat051-E00526-585-HJLFCCCX2-L3-8B-B1,modern
OchCCat059_Ex1-8C-lcwgs-1_RG-OchCCat059-E00526-585-HJLFCCCX2-L3-8C-B1,modern
OchCCat063_Ex1-5E-lcwgs-1_RG-OchCCat063-E00526-585-HJLFCCCX2-L3-5E-B1,modern
OchCCat065_Ex1-4F-lcwgs-1_RG-OchCCat065-E00526-585-HJLFCCCX2-L3-4F-B1,modern
OchCCat066_Ex1-7A-lcwgs-1_RG-OchCCat066-E00526-585-HJLFCCCX2-L3-7A-B1,modern
OchCCat068_Ex1-4G-lcwgs-1_RG-OchCCat068-E00526-585-HJLFCCCX2-L3-4G-B1,modern
OchCCat069_Ex1-5F-lcwgs-1_RG-OchCCat069-E00526-585-HJLFCCCX2-L3-5F-B1,modern
OchCCat070_Ex1-7F-lcwgs-1_RG-OchCCat070-E00526-585-HJLFCCCX2-L3-7F-B1,modern
OchCCat071_Ex1-8H-lcwgs-1_RG-OchCCat071-E00526-585-HJLFCCCX2-L3-8H-B1,modern
OchCCat072_Ex1-7E-lcwgs-1_RG-OchCCat072-E00526-585-HJLFCCCX2-L3-7E-B1,modern
OchCCat074_Ex1-6E-lcwgs-1_RG-OchCCat074-E00526-585-HJLFCCCX2-L3-6E-B1,modern
OchCCat075_Ex1-5B-lcwgs-1_RG-OchCCat075-E00526-585-HJLFCCCX2-L3-5B-B1,modern
OchCCat076_Ex1-5H-lcwgs-1_RG-OchCCat076-E00526-585-HJLFCCCX2-L3-5H-B1,modern
OchCCat077_Ex1-5A-lcwgs-1_RG-OchCCat077-E00526-585-HJLFCCCX2-L3-5A-B1,modern
OchCCat079_Ex1-8A-lcwgs-1_RG-OchCCat079-E00526-585-HJLFCCCX2-L3-8A-B1,modern
OchCCat080_Ex1-7C-lcwgs-1_RG-OchCCat080-E00526-585-HJLFCCCX2-L3-7C-B1,modern
OchCCat081_Ex1-8D-lcwgs-1_RG-OchCCat081-E00526-585-HJLFCCCX2-L3-8D-B1,modern
OchCCat082_Ex1-6H-lcwgs-1_RG-OchCCat082-E00526-585-HJLFCCCX2-L3-6H-B1,modern
OchCCat083_Ex1-6F-lcwgs-1_RG-OchCCat083-E00526-585-HJLFCCCX2-L3-6F-B1,modern
OchCCat084_Ex1-7D-lcwgs-1_RG-OchCCat084-E00526-585-HJLFCCCX2-L3-7D-B1,modern
OchCCat085_Ex1-6G-lcwgs-1_RG-OchCCat085-E00526-585-HJLFCCCX2-L3-6G-B1,modern
OchCCat086_Ex1-8E-lcwgs-1_RG-OchCCat086-E00526-585-HJLFCCCX2-L3-8E-B1,modern
OchCCat087_Ex1-6C-lcwgs-1_RG-OchCCat087-E00526-585-HJLFCCCX2-L3-6C-B1,modern
OchCCat088_Ex1-7H-lcwgs-1_RG-OchCCat088-E00526-585-HJLFCCCX2-L3-7H-B1,modern
OchCCat090_Ex1-8G-lcwgs-1_RG-OchCCat090-E00526-585-HJLFCCCX2-L3-8G-B1,modern
OchCCat091_Ex1-7G-lcwgs-1_RG-OchCCat091-E00526-585-HJLFCCCX2-L3-7G-B1,modern
OchCCat092_Ex1-8F-lcwgs-1_RG-OchCCat092-E00526-585-HJLFCCCX2-L3-8F-B1,modern
OchCCat094_Ex1-4D-lcwgs-1_RG-OchCCat094-E00526-585-HJLFCCCX2-L3-4D-B1,modern
OchCCat095_Ex1-7B-lcwgs-1_RG-OchCCat095-E00526-585-HJLFCCCX2-L3-7B-B1,modern
OchCCat096_Ex1-6B-lcwgs-1_RG-OchCCat096-E00526-585-HJLFCCCX2-L3-6B-B1,modern
OchCTum001_Ex1-5A-lcwgs-1_RG-OchCTum001-E00526-585-HJLFCCCX2-L3-5A-B1,modern
OchCTum002_Ex1-5B-lcwgs-1_RG-OchCTum002-E00526-585-HJLFCCCX2-L3-5B-B1,modern
OchCTum003_Ex1-5C-lcwgs-1_RG-OchCTum003-E00526-585-HJLFCCCX2-L3-5C-B1,modern
OchCTum004_Ex1-5D-lcwgs-1_RG-OchCTum004-E00526-585-HJLFCCCX2-L3-5D-B1,modern
OchCTum005_Ex1-5E-lcwgs-1_RG-OchCTum005-E00526-585-HJLFCCCX2-L3-5E-B1,modern
OchCTum006_Ex1-5F-lcwgs-1_RG-OchCTum006-E00526-585-HJLFCCCX2-L3-5F-B1,modern
OchCTum007_Ex1-5G-lcwgs-1_RG-OchCTum007-E00526-585-HJLFCCCX2-L3-5G-B1,modern
OchCTum008_Ex1-5H-lcwgs-1_RG-OchCTum008-E00526-585-HJLFCCCX2-L3-5H-B1,modern
OchCTum009_Ex1-6A-lcwgs-1_RG-OchCTum009-E00526-585-HJLFCCCX2-L3-6A-B1,modern
OchCTum010_Ex1-6B-lcwgs-1_RG-OchCTum010-E00526-585-HJLFCCCX2-L3-6B-B1,modern
OchCTum011_Ex1-6C-lcwgs-1_RG-OchCTum011-E00526-585-HJLFCCCX2-L3-6C-B1,modern
OchCTum012_Ex1-6D-lcwgs-1_RG-OchCTum012-E00526-585-HJLFCCCX2-L3-6D-B1,modern
OchCTum013_Ex1-6E-lcwgs-1_RG-OchCTum013-E00526-585-HJLFCCCX2-L3-6E-B1,modern
OchCTum014_Ex1-6F-lcwgs-1_RG-OchCTum014-E00526-585-HJLFCCCX2-L3-6F-B1,modern
OchCTum015_Ex1-6G-lcwgs-1_RG-OchCTum015-E00526-585-HJLFCCCX2-L3-6G-B1,modern
OchCTum016_Ex1-6H-lcwgs-1_RG-OchCTum016-E00526-585-HJLFCCCX2-L3-6H-B1,modern
OchCTum017_Ex1-7A-lcwgs-1_RG-OchCTum017-E00526-585-HJLFCCCX2-L3-7A-B1,modern
OchCTum018_Ex1-7B-lcwgs-1_RG-OchCTum018-E00526-585-HJLFCCCX2-L3-7B-B1,modern
OchCTum019_Ex1-7C-lcwgs-1_RG-OchCTum019-E00526-585-HJLFCCCX2-L3-7C-B1,modern
OchCTum020_Ex1-7D-lcwgs-1_RG-OchCTum020-E00526-585-HJLFCCCX2-L3-7D-B1,modern
OchCTum021_Ex1-7E-lcwgs-1_RG-OchCTum021-E00526-585-HJLFCCCX2-L3-7E-B1,modern
OchCTum022_Ex1-7F-lcwgs-1_RG-OchCTum022-E00526-585-HJLFCCCX2-L3-7F-B1,modern
OchCTum023_Ex1-7G-lcwgs-1_RG-OchCTum023-E00526-585-HJLFCCCX2-L3-7G-B1,modern
OchCTum024_Ex1-7H-lcwgs-1_RG-OchCTum024-E00526-585-HJLFCCCX2-L3-7H-B1,modern
OchCTum025_Ex1-8A-lcwgs-1_RG-OchCTum025-E00526-585-HJLFCCCX2-L3-8A-B1,modern
OchCTum026_Ex1-8B-lcwgs-1_RG-OchCTum026-E00526-585-HJLFCCCX2-L3-8B-B1,modern
OchCTum027_Ex1-8C-lcwgs-1_RG-OchCTum027-E00526-585-HJLFCCCX2-L3-8C-B1,modern
OchCTum028_Ex1-8D-lcwgs-1_RG-OchCTum028-E00526-585-HJLFCCCX2-L3-8D-B1,modern
OchCTum029_Ex1-8E-lcwgs-1_RG-OchCTum029-E00526-585-HJLFCCCX2-L3-8E-B1,modern
OchCTum030_Ex1-8F-lcwgs-1_RG-OchCTum030-E00526-585-HJLFCCCX2-L3-8F-B1,modern
OchCTum031_Ex1-8G-lcwgs-1_RG-OchCTum031-E00526-585-HJLFCCCX2-L3-8G-B1,modern
OchCTum032_Ex1-8H-lcwgs-1_RG-OchCTum032-E00526-585-HJLFCCCX2-L3-8H-B1,modern
OchCTum033_Ex1-9A-lcwgs-1_RG-OchCTum033-E00526-585-HJLFCCCX2-L3-9A-B1,modern
OchCTum034_Ex1-9B-lcwgs-1_RG-OchCTum034-E00526-585-HJLFCCCX2-L3-9B-B1,modern
OchCTum035_Ex1-9C-lcwgs-1_RG-OchCTum035-E00526-585-HJLFCCCX2-L3-9C-B1,modern
OchCTum036_Ex1-9D-lcwgs-1_RG-OchCTum036-E00526-585-HJLFCCCX2-L3-9D-B1,modern
OchCTum037_Ex1-9E-lcwgs-1_RG-OchCTum037-E00526-585-HJLFCCCX2-L3-9E-B1,modern
OchCTum038_Ex1-9F-lcwgs-1_RG-OchCTum038-E00526-585-HJLFCCCX2-L3-9F-B1,modern
OchCTum039_Ex1-9G-lcwgs-1_RG-OchCTum039-E00526-585-HJLFCCCX2-L3-9G-B1,modern
OchCTum040_Ex1-9H-lcwgs-1_RG-OchCTum040-E00526-585-HJLFCCCX2-L3-9H-B1,modern
OchCTum041_Ex1-10A-lcwgs-1_RG-OchCTum041-E00526-585-HJLFCCCX2-L3-10A-B1,modern
OchCTum042_Ex1-10B-lcwgs-1_RG-OchCTum042-E00526-585-HJLFCCCX2-L3-10B-B1,modern
OchCTum043_Ex1-10C-lcwgs-1_RG-OchCTum043-E00526-585-HJLFCCCX2-L3-10C-B1,modern
OchCTum044_Ex1-10D-lcwgs-1_RG-OchCTum044-E00526-585-HJLFCCCX2-L3-10D-B1,modern
OchCTum045_Ex1-10E-lcwgs-1_RG-OchCTum045-E00526-585-HJLFCCCX2-L3-10E-B1,modern
OchCTum047_Ex1-10G-lcwgs-1_RG-OchCTum047-E00526-585-HJLFCCCX2-L3-10G-B1,modern
OchCTum048_Ex1-10H-lcwgs-1_RG-OchCTum048-E00526-585-HJLFCCCX2-L3-10H-B1,modern
OchCTum049_Ex1-11A-lcwgs-1_RG-OchCTum049-E00526-585-HJLFCCCX2-L3-11A-B1,modern
OchCTum050_Ex1-11B-lcwgs-1_RG-OchCTum050-E00526-585-HJLFCCCX2-L3-11B-B1,modern
OchCTum051_Ex1-11C-lcwgs-1_RG-OchCTum051-E00526-585-HJLFCCCX2-L3-11C-B1,modern
OchACan001_Ex1-1A-lcwgs-1_RG-OchACan001-LH00328-276-22KKJLLT3-L2-1A-B1,historical
OchACan002_Ex1-2A-lcwgs-1_RG-OchACan002-LH00328-276-22KKJLLT3-L2-2A-B1,historical
OchACan003_Ex1-3A-lcwgs-1_RG-OchACan003-LH00328-276-22KKJLLT3-L2-3A-B1,historical
OchACan004_Ex1-4A-lcwgs-1_RG-OchACan004-LH00328-276-22KKJLLT3-L2-4A-B1,historical
OchACan005_Ex1-5A-lcwgs-1_RG-OchACan005-LH00328-276-22KKJLLT3-L2-5A-B1,historical
OchACan006_Ex1-6A-lcwgs-1_RG-OchACan006-LH00328-276-22KKJLLT3-L2-6A-B1,historical
OchACan007_Ex1-7A-lcwgs-1_RG-OchACan007-LH00328-276-22KKJLLT3-L2-7A-B1,historical
OchACan008_Ex1-8A-lcwgs-1_RG-OchACan008-LH00328-276-22KKJLLT3-L2-8A-B1,historical
OchACan009_Ex1-9A-lcwgs-1_RG-OchACan009-LH00328-276-22KKJLLT3-L2-9A-B1,historical
OchACan010_Ex1-10A-lcwgs-1_RG-OchACan010-LH00328-276-22KKJLLT3-L2-10A-B1,historical
OchACan011_Ex1-11A-lcwgs-1_RG-OchACan011-LH00328-276-22KKJLLT3-L2-11A-B1,historical
OchACan012_Ex1-12A-lcwgs-1_RG-OchACan012-LH00328-276-22KKJLLT3-L2-12A-B1,historical
OchACan013_Ex1-1B-lcwgs-1_RG-OchACan013-LH00328-276-22KKJLLT3-L2-1B-B1,historical
OchACan014_Ex1-2B-lcwgs-1_RG-OchACan014-LH00328-276-22KKJLLT3-L2-2B-B1,historical
OchACan015_Ex1-3B-lcwgs-1_RG-OchACan015-LH00328-276-22KKJLLT3-L2-3B-B1,historical
OchACan016_Ex1-4B-lcwgs-1_RG-OchACan016-LH00328-276-22KKJLLT3-L2-4B-B1,historical
OchACan017_Ex1-5B-lcwgs-1_RG-OchACan017-LH00328-276-22KKJLLT3-L2-5B-B1,historical
OchACan018_Ex1-6B-lcwgs-1_RG-OchACan018-LH00328-276-22KKJLLT3-L2-6B-B1,historical
OchACan019_Ex1-7B-lcwgs-1_RG-OchACan019-LH00328-276-22KKJLLT3-L2-7B-B1,historical
OchACan020_Ex1-8B-lcwgs-1_RG-OchACan020-LH00328-276-22KKJLLT3-L2-8B-B1,historical
OchACan021_Ex1-9B-lcwgs-1_RG-OchACan021-LH00328-276-22KKJLLT3-L2-9B-B1,historical
OchACan022_Ex1-10B-lcwgs-1_RG-OchACan022-LH00328-276-22KKJLLT3-L2-10B-B1,historical
OchACan023_Ex1-11B-lcwgs-1_RG-OchACan023-LH00328-276-22KKJLLT3-L2-11B-B1,historical
OchACan024_Ex1-12B-lcwgs-1_RG-OchACan024-LH00328-276-22KKJLLT3-L2-12B-B1,historical
OchCBur013_Ex1-1A-lcwgs-1_RG-OchCBur013-LH00328-276-22KKJLLT3-L2-1A-B1,modern
OchCBur014_Ex1-1G-lcwgs-1_RG-OchCBur014-LH00328-276-22KKJLLT3-L2-1G-B1,modern
OchCBur015_Ex1-2E-lcwgs-1_RG-OchCBur015-LH00328-276-22KKJLLT3-L2-2E-B1,modern
OchCBur016_Ex1-3A-lcwgs-1_RG-OchCBur016-LH00328-276-22KKJLLT3-L2-3A-B1,modern
OchCBur017_Ex1-3H-lcwgs-1_RG-OchCBur017-LH00328-276-22KKJLLT3-L2-3H-B1,modern
OchCBur018_Ex1-4G-lcwgs-1_RG-OchCBur018-LH00328-276-22KKJLLT3-L2-4G-B1,modern
OchCBur021_Ex1-6F-lcwgs-1_RG-OchCBur021-LH00328-276-22KKJLLT3-L2-6F-B1,modern
OchCBur022_Ex1-7B-lcwgs-1_RG-OchCBur022-LH00328-276-22KKJLLT3-L2-7B-B1,modern
OchCBur023_Ex1-7G-lcwgs-1_RG-OchCBur023-LH00328-276-22KKJLLT3-L2-7G-B1,modern
OchCBur024_Ex1-8E-lcwgs-1_RG-OchCBur024-LH00328-276-22KKJLLT3-L2-8E-B1,modern
OchCBur025_Ex1-1B-lcwgs-1_RG-OchCBur025-LH00328-276-22KKJLLT3-L2-1B-B1,modern
OchCBur026_Ex1-1H-lcwgs-1_RG-OchCBur026-LH00328-276-22KKJLLT3-L2-1H-B1,modern
