sample,era
OchACat001_Ex1-1A-lcwgs-2_RG-OchACat001-E00526-585-HJLFCCCX2-L3-1A-B2,historical
OchACat002_Ex1-2A-lcwgs-2_RG-OchACat002-E00526-585-HJLFCCCX2-L3-2A-B2,historical
OchACat003_Ex1-3A-lcwgs-2_RG-OchACat003-E00526-585-HJLFCCCX2-L3-3A-B2,historical
OchACat004_Ex1-4A-lcwgs-2_RG-OchACat004-E00526-585-HJLFCCCX2-L3-4A-B2,historical
OchACat005_Ex1-5A-lcwgs-2_RG-OchACat005-E00526-585-HJLFCCCX2-L3-5A-B2,historical
OchACat006_Ex1-6A-lcwgs-2_RG-OchACat006-E00526-585-HJLFCCCX2-L3-6A-B2,historical
OchACat007_Ex1-4A-lcwgs-1_RG-OchACat007-E00526-585-HJLFCCCX2-L3-4A-B1,historical
OchACat007_Ex1-7A-lcwgs-2_RG-OchACat007-E00526-585-HJLFCCCX2-L3-7A-B2,historical
OchACat008_Ex1-8A-lcwgs-2_RG-OchACat008-E00526-585-HJLFCCCX2-L3-8A-B2,historical
OchACat009_Ex1-4C-lcwgs-1_RG-OchACat009-E00526-585-HJLFCCCX2-L3-4C-B1,historical
OchACat009_Ex1-9A-lcwgs-2_RG-OchACat009-E00526-585-HJLFCCCX2-L3-9A-B2,historical
OchACat010_Ex1-10A-lcwgs-2_RG-OchACat010-E00526-585-HJLFCCCX2-L3-10A-B2,historical
OchACat011_Ex1-11A-lcwgs-2_RG-OchACat011-E00526-585-HJLFCCCX2-L3-11A-B2,historical
OchACat012_Ex1-12A-lcwgs-2_RG-OchACat012-E00526-585-HJLFCCCX2-L3-12A-B2,historical
OchACat013_Ex1-1B-lcwgs-2_RG-OchACat013-E00526-585-HJLFCCCX2-L3-1B-B2,historical
OchACat014_Ex1-2B-lcwgs-2_RG-OchACat014-E00526-585-HJLFCCCX2-L3-2B-B2,historical
OchACat015_Ex1-3B-lcwgs-2_RG-OchACat015-E00526-585-HJLFCCCX2-L3-3B-B2,historical
OchACat015_Ex1-5A-lcwgs-1_RG-OchACat015-E00526-585-HJLFCCCX2-L3-5A-B1,historical
OchACat016_Ex1-4B-lcwgs-2_RG-OchACat016-E00526-585-HJLFCCCX2-L3-4B-B2,historical
OchACat017_Ex1-5B-lcwgs-2_RG-OchACat017-E00526-585-HJLFCCCX2-L3-5B-B2,historical
OchACat018_Ex1-6B-lcwgs-2_RG-OchACat018-E00526-585-HJLFCCCX2-L3-6B-B2,historical
OchACat019_Ex1-7B-lcwgs-2_RG-OchACat019-E00526-585-HJLFCCCX2-L3-7B-B2,historical
OchACat020_Ex1-8B-lcwgs-2_RG-OchACat020-E00526-585-HJLFCCCX2-L3-8B-B2,historical
OchACat021_Ex1-9B-lcwgs-2_RG-OchACat021-E00526-585-HJLFCCCX2-L3-9B-B2,historical
OchACat022_Ex1-10B-lcwgs-2_RG-OchACat022-E00526-585-HJLFCCCX2-L3-10B-B2,historical
OchACat023_Ex1-11B-lcwgs-2_RG-OchACat023-E00526-585-HJLFCCCX2-L3-11B-B2,historical
OchACat024_Ex1-12B-lcwgs-2_RG-OchACat024-E00526-585-HJLFCCCX2-L3-12B-B2,historical
OchACat025_Ex1-1C-lcwgs-2_RG-OchACat025-E00526-585-HJLFCCCX2-L3-1C-B2,historical
OchACat026_Ex1-2C-lcwgs-2_RG-OchACat026-E00526-585-HJLFCCCX2-L3-2C-B2,historical
OchACat027_Ex1-3C-lcwgs-2_RG-OchACat027-E00526-585-HJLFCCCX2-L3-3C-B2,historical
OchACat028_Ex1-4C-lcwgs-2_RG-OchACat028-E00526-585-HJLFCCCX2-L3-4C-B2,historical
OchACat029_Ex1-5C-lcwgs-2_RG-OchACat029-E00526-585-HJLFCCCX2-L3-5C-B2,historical
OchACat030_Ex1-6C-lcwgs-2_RG-OchACat030-E00526-585-HJLFCCCX2-L3-6C-B2,historical
OchACat031_Ex1-7C-lcwgs-2_RG-OchACat031-E00526-585-HJLFCCCX2-L3-7C-B2,historical
OchACat032_Ex1-7B-lcwgs-1_RG-OchACat032-E00526-585-HJLFCCCX2-L3-7B-B1,historical
